gw,ars,avl,bha,bur,che,cry,eve,ful,lee,lei,liv,mci,mun,new,shu,sou,tot,wba,whu,wol
1,1.57,,5.4,,1.67,3.5,4.5,6.4,10.5,2.02,1.32,,,3.9,3.55,2.38,1.95,4,2.1,2.5
2,1.6,2.8,2.94,5.6,3.1,11.5,1.62,4.9,1.78,1.62,2.24,1.51,1.29,2.6,2.72,3.2,2.36,5.6,5.9,6.6
